Job ID,Completion Time,Times Migrated,Times Restarted
104,21711,0,8
22,27928,0,5
10,28953,0,5
154,28877,0,6
223,30615,0,6
237,30615,0,7
48,28833,0,7
169,30622,0,4
37,31547,0,7
171,32445,0,6
58,32485,0,5
60,32492,0,4
30,39538,0,8
96,32446,0,7
194,34208,0,5
184,28840,0,4
66,34221,0,6
198,34221,0,3
16,34221,0,5
44,34221,0,4
77,34233,0,6
4,34266,0,7
105,64770,0,9
122,36025,0,4
231,36032,0,5
100,36045,0,6
82,36052,0,7
179,36052,0,4
206,50280,0,14
9,36071,0,5
69,36073,0,7
15,36078,0,6
62,36084,0,8
12,37808,0,7
45,37808,0,8
90,37809,0,7
129,50305,0,5
132,37809,0,13
167,37809,0,4
181,37809,0,7
191,39437,1,4
249,37809,0,4
54,37808,0,8
113,37815,0,7
121,37814,0,9
128,37815,0,5
222,41410,0,8
234,41384,0,8
137,35920,0,5
146,34209,0,7
227,32421,0,7
160,37833,0,6
93,37834,0,5
164,37847,0,4
153,37866,0,7
204,37886,0,1
163,40493,0,6
88,38718,0,6
112,38729,0,6
229,38737,0,8
159,38737,0,8
131,38742,0,6
19,38769,0,9
232,38783,0,14
240,37837,0,4
170,41336,0,8
47,39620,0,10
80,39485,0,6
114,38744,0,8
49,39633,1,6
61,57538,0,9
39,39639,0,7
166,39639,0,7
155,39640,0,8
111,39646,0,5
254,39645,0,10
176,39666,0,5
135,39672,0,13
203,39679,0,5
67,47513,0,7
110,41409,0,9
117,60247,0,8
151,41409,0,8
177,41409,0,11
180,37833,0,7
199,45760,0,8
8,41415,0,8
23,36047,0,7
73,41415,0,8
86,55873,0,5
186,41415,0,6
252,41415,0,10
55,41420,0,6
134,63009,0,12
200,41421,0,8
239,37809,0,9
14,41426,0,6
99,42238,0,8
244,41435,0,9
118,43208,0,6
165,43214,0,4
38,43322,0,8
183,43221,0,6
29,38751,0,8
51,43228,0,5
108,43233,0,4
213,43234,0,10
36,46652,1,10
41,45009,0,8
74,55693,0,11
89,37820,0,10
92,45009,0,13
106,45008,0,8
116,45008,0,7
148,45008,0,7
150,45009,0,8
210,46045,0,8
220,62994,0,4
224,45009,1,6
85,34208,0,5
141,45014,0,6
172,45014,0,6
245,41409,0,4
25,45016,0,9
78,45015,0,11
175,45015,0,12
35,45022,0,4
103,57513,0,9
138,45022,0,8
236,74616,0,11
75,46821,0,8
98,46808,0,10
42,46814,0,7
21,36021,0,7
95,46827,0,7
205,46827,0,5
31,46832,0,10
70,46838,0,6
107,46844,0,8
7,46883,0,6
6,48608,0,10
72,48609,0,7
83,48609,0,8
87,48609,0,6
97,48608,0,10
144,48608,0,5
195,64662,0,11
57,48614,0,10
157,48614,0,7
13,52986,0,11
18,50408,0,7
142,50408,0,10
209,50408,1,8
216,50408,0,10
182,50414,0,6
27,50414,0,9
46,50432,0,6
212,50446,0,10
174,51433,0,7
52,38756,0,8
71,52209,0,12
208,52209,0,7
225,52208,0,9
246,52208,0,9
91,52214,0,7
149,50427,0,11
119,54020,0,9
127,66549,0,8
173,54021,0,7
76,62113,0,9
79,54034,0,8
24,55808,0,7
130,55849,0,12
143,52122,0,11
228,61201,0,6
304,16256,0,1
189,55815,0,9
266,23353,0,4
284,21494,0,3
152,59408,0,11
241,59408,0,8
303,21587,0,2
275,26104,0,5
5,67436,0,9
214,61213,0,10
126,63008,0,6
3,64865,0,6
318,21737,0,5
50,72846,0,11
188,66608,0,12
247,66608,0,8
248,66609,0,12
256,39601,0,4
288,30525,0,3
312,23329,0,1
326,26981,0,3
355,23421,0,2
168,54222,0,4
251,72819,0,8
243,68421,0,7
290,30631,0,3
279,32422,1,2
161,54026,0,8
267,32330,0,3
277,35943,0,3
257,42287,0,6
301,32395,0,2
375,25196,0,3
190,72086,0,10
258,43176,0,9
40,72020,0,4
323,32401,0,4
197,72048,0,5
68,72062,0,13
281,36017,0,4
218,72067,0,7
158,73808,0,9
299,36073,0,4
333,34137,0,6
349,32387,0,3
81,73814,0,10
230,86395,0,11
264,42268,0,5
274,39633,0,4
353,32425,0,4
378,30591,0,5
268,36007,0,4
2,75626,0,8
101,63183,0,9
263,46787,0,7
314,30661,0,4
371,32393,0,5
421,19830,0,2
386,32323,0,5
219,79207,0,14
283,43154,0,6
372,35218,0,3
422,25201,0,3
369,28817,0,4
270,45033,0,4
352,39583,0,4
313,42299,0,7
431,25204,0,4
285,46743,0,3
327,43183,0,4
269,45005,0,3
145,82837,0,9
34,84608,1,9
217,84609,0,13
328,44969,0,4
342,43194,0,5
297,46799,0,5
439,23424,0,3
356,43206,0,9
331,37763,0,4
360,44982,0,7
430,28797,0,5
434,27082,0,3
469,16148,0,4
451,21601,0,2
345,46820,0,3
271,55794,0,5
400,41396,0,6
305,41479,0,3
185,90021,0,5
140,91809,0,14
330,50460,0,4
156,95408,0,12
280,55777,0,7
322,64730,0,8
380,53983,0,9
423,44987,0,6
368,54001,0,7
348,61188,0,9
395,37854,0,3
404,45062,0,5
393,55778,0,7
428,46805,0,7
260,72002,0,5
215,104428,0,11
238,106208,0,11
391,55788,0,7
259,77337,0,8
399,34266,0,7
408,55806,0,6
409,55805,0,8
293,70196,0,6
429,52212,0,4
332,70144,0,12
374,64790,0,7
384,64779,0,7
456,37775,0,8
341,68401,0,10
412,59383,0,7
441,46812,1,6
487,32454,0,4
273,77387,0,6
65,113408,0,15
291,75598,0,9
419,61196,0,6
427,45067,0,4
454,45001,0,6
289,79201,1,9
309,55860,0,6
466,44989,0,10
500,34189,0,6
507,28807,0,5
485,39606,0,7
514,53966,0,5
324,77364,0,8
351,79185,0,10
417,68399,0,6
464,48648,0,5
474,46798,0,9
483,44983,0,9
532,17994,0,2
261,81066,0,7
278,63086,0,5
438,52266,0,5
512,32405,0,5
437,61211,0,6
447,54016,0,9
406,57699,0,5
361,79181,0,7
162,124208,0,15
363,79200,0,7
389,77388,0,13
478,43204,0,12
492,44989,0,8
418,72004,0,7
446,57606,0,7
517,34201,0,11
450,61202,0,9
522,34202,0,3
444,61226,0,11
344,89991,0,7
364,86399,0,12
491,52207,0,8
317,79247,0,9
534,32451,0,5
346,97111,0,7
509,43188,0,10
425,80989,0,9
540,30592,0,1
580,12613,0,1
381,71176,0,13
442,73743,0,10
521,46800,0,7
402,90001,0,6
494,59394,0,8
520,48595,0,10
462,68407,0,10
388,80968,0,9
488,63048,0,6
470,70154,0,15
531,39606,0,5
537,36006,0,2
481,70196,0,11
571,21602,0,2
591,14421,0,2
407,97198,0,8
365,104399,0,16
525,50400,0,7
546,39599,0,5
560,32398,0,6
513,61205,0,14
562,32404,0,3
578,30602,0,6
565,32408,0,2
569,32404,0,4
582,28806,0,3
589,25200,0,4
590,25181,0,4
542,45022,0,5
539,52248,0,5
554,43200,0,7
609,14399,0,2
545,46807,0,6
563,39601,0,5
612,14399,0,2
490,79213,0,12
516,71970,0,9
572,41454,0,7
416,108007,0,10
533,57600,0,10
577,43182,0,5
570,43203,0,6
595,30607,0,4
536,55848,0,7
544,57600,0,10
599,30608,0,4
607,28793,0,3
574,39599,0,4
611,26992,0,3
601,34181,0,4
635,14392,0,3
550,61196,0,5
579,48602,0,5
585,50394,0,7
588,52248,0,4
443,120537,1,12
584,61204,0,4
603,46806,0,6
489,111588,0,12
558,72001,0,9
597,43201,0,6
573,68399,0,3
622,39599,0,5
625,36000,0,2
651,18006,0,5
583,64820,0,6
616,45002,1,4
623,39607,0,3
471,124141,0,10
606,57592,0,4
543,77454,0,7
605,54038,0,4
620,41448,0,3
634,41448,0,7
556,86404,0,5
638,39607,0,6
621,46801,0,8
632,39664,0,5
602,64807,0,8
613,48648,0,11
646,39594,0,6
648,27048,0,5
660,18006,0,3
640,43192,0,6
643,46800,0,5
657,25200,0,2
619,59489,0,6
652,43201,0,6
629,64788,0,4
676,19798,0,2
559,104399,0,7
667,27054,0,3
649,52207,0,8
672,21607,0,2
549,118793,0,11
642,63048,0,7
650,57600,0,4
671,25207,0,2
614,82806,0,10
617,79207,0,12
663,39599,0,7
669,32407,0,6
683,25194,0,5
677,28807,0,6
682,25206,0,2
665,46797,0,5
690,16248,0,3
678,36007,0,2
679,36000,0,2
697,10845,0,1
699,16255,0,1
695,18007,0,4
659,43200,0,8
703,18001,0,5
698,25205,0,3
636,84648,0,14
684,41448,0,4
693,39601,0,8
708,25201,0,5
685,61193,0,7
706,43200,0,6
707,46800,0,7
713,36008,0,5
712,41392,0,6
686,79200,0,5
705,54007,0,4
673,93599,0,11
691,72001,0,4
696,64807,0,6
717,36006,0,5
719,32401,0,6
710,61160,0,9
723,32400,0,4
730,25200,0,5
724,30601,0,4
