Job ID,Completion Time,Times Migrated,Times Restarted
142,21711,0,3
136,23409,0,6
140,37954,0,9
26,24309,0,4
188,25293,0,4
101,28807,0,3
38,30615,0,5
219,30615,0,5
46,40432,0,7
191,44898,0,9
63,30707,0,5
94,31526,0,4
183,31566,0,8
25,59389,0,8
207,32434,0,3
231,32446,0,7
138,34209,0,8
146,34208,0,12
182,30733,0,3
197,50535,0,8
217,34209,0,6
250,34208,0,7
72,34215,0,8
83,31520,0,8
124,34215,0,4
154,34215,0,6
156,34215,0,8
198,43177,0,11
238,34215,0,7
194,34216,0,3
79,40436,0,6
186,34221,0,4
81,34226,0,7
31,34235,0,7
172,36015,0,7
32,36021,0,5
202,36033,0,8
45,36046,0,8
150,36052,0,10
151,36053,0,5
161,36053,0,6
4,37808,0,7
65,37808,0,4
76,45045,0,6
100,37808,0,3
139,37808,0,8
166,34221,0,5
190,37809,0,8
229,37809,0,6
213,37815,0,10
251,37814,0,10
41,37815,0,5
52,37821,0,5
148,37820,0,9
167,37821,0,4
168,37820,0,10
145,37826,0,8
129,37829,0,6
82,38657,0,5
209,37852,0,7
14,37859,0,5
95,37879,0,11
69,37873,0,8
13,39607,0,6
174,39608,0,5
184,39613,0,6
218,39615,0,7
248,37808,0,10
212,39639,0,5
157,39646,0,7
12,41401,0,5
19,52195,0,11
117,45069,0,7
220,39686,0,5
68,39692,0,6
196,50298,0,10
9,37808,0,6
43,41409,0,9
74,41409,0,7
78,41408,0,8
115,41409,0,12
126,39653,0,8
170,41408,0,7
223,41408,0,8
228,41408,0,3
96,41414,0,5
200,41414,0,8
224,41415,0,8
147,41416,0,5
181,41421,0,8
235,41422,0,7
75,41422,0,4
28,43084,0,10
125,41440,0,7
221,41441,0,2
23,41458,0,7
135,41473,0,7
86,57506,0,11
24,41615,0,5
62,43208,0,6
163,43208,0,9
85,43214,0,6
6,62920,0,4
120,39641,0,9
160,43227,0,7
189,43228,0,8
59,43230,0,6
88,43232,0,9
199,43234,0,7
240,45238,0,8
56,43253,0,7
175,43258,0,10
36,43265,0,9
22,54867,0,5
34,45008,0,4
39,45008,0,8
50,45009,0,8
105,45008,0,8
109,45009,0,9
113,45008,0,9
153,45008,0,10
10,45014,0,7
35,45015,0,11
122,45995,0,7
40,46808,0,11
104,39626,0,7
16,46814,0,11
169,37815,0,7
18,46815,0,9
155,46815,0,11
234,46815,0,6
108,46819,0,5
211,46820,0,12
149,46834,0,9
152,46833,0,7
214,46853,0,8
106,39773,0,6
42,48608,0,10
130,48609,0,10
249,48609,0,7
114,48615,0,8
255,48614,0,8
257,21633,0,1
0,49525,0,11
97,61183,0,12
178,50407,0,4
180,50407,0,6
17,50414,0,10
89,50414,0,10
77,57570,0,10
20,50421,0,9
205,52209,0,8
247,63819,0,10
144,57660,0,8
30,52222,0,6
254,52229,0,9
162,52249,0,7
317,14387,0,2
53,54022,0,11
71,54028,0,6
259,21678,0,1
230,54068,0,6
47,55808,0,8
55,55809,0,14
93,55808,0,5
204,55808,0,10
226,53280,0,10
15,57628,0,9
284,23413,0,1
98,57641,0,9
141,57641,0,8
116,57659,0,6
291,21725,0,3
61,57679,0,9
242,57686,0,5
27,57693,0,11
7,64794,0,10
33,61233,0,9
253,69257,0,11
110,63009,0,10
283,28790,0,3
267,31490,0,3
54,63021,0,5
133,63055,0,6
305,25259,0,2
11,64821,0,11
301,27009,0,2
1,66608,0,8
58,66609,0,11
102,66608,0,9
192,66609,0,15
266,35902,0,3
315,28764,0,4
292,30588,0,5
280,34204,0,2
265,34174,0,4
314,28775,0,3
264,37801,0,5
282,34260,0,4
310,32386,0,4
364,26983,0,6
241,72014,0,8
293,35982,0,5
297,26999,0,2
290,32430,0,5
272,39600,0,8
275,34249,0,4
304,35993,0,4
5,73814,0,15
263,44992,0,4
331,35930,0,7
201,75647,0,9
258,53995,0,6
271,43062,0,5
276,43196,0,6
302,39596,0,3
311,39585,0,6
333,36000,0,3
361,34180,0,6
374,44978,0,3
398,28799,0,4
418,21631,0,1
414,23425,0,3
326,37805,0,5
344,36046,0,5
256,57497,0,6
287,44992,0,5
348,37792,0,3
90,79227,0,9
320,39619,0,9
318,41360,0,7
353,36888,0,6
92,97178,0,12
277,46796,0,6
303,43195,0,5
306,43191,0,8
308,43188,0,6
335,34198,0,2
372,36010,0,3
327,41357,0,5
288,46797,0,4
299,43213,0,4
365,37806,0,5
388,34248,0,6
387,35989,0,3
379,38614,0,6
385,37793,0,4
285,50394,0,5
289,50379,0,5
391,34156,0,6
443,18030,0,1
345,45007,0,5
332,48499,0,3
420,32398,0,5
425,30568,0,5
386,43203,0,4
278,50407,0,14
404,41395,0,2
437,26993,0,2
458,19781,0,4
378,50391,0,6
436,32400,0,3
462,21600,0,5
324,55777,0,7
478,19770,0,3
352,43142,0,5
375,53995,0,5
384,52193,0,8
407,46801,0,5
323,62952,0,8
325,45061,0,8
351,57558,0,4
441,48552,0,4
358,57593,0,5
281,68391,0,8
368,59345,0,11
410,37860,0,6
411,50387,0,7
445,36005,0,3
334,61207,0,7
426,46767,0,3
501,19806,0,2
313,68381,0,7
319,52278,0,7
377,45130,0,3
450,37795,0,7
493,25204,0,5
456,36007,0,6
448,39618,0,3
389,59405,0,6
336,52255,0,6
434,41448,0,3
447,43202,0,5
406,59408,0,6
341,71993,0,8
394,45064,0,10
397,64793,0,8
419,57600,0,8
430,55722,0,7
465,37801,0,3
338,72001,0,6
402,52270,0,5
488,34180,0,8
516,18008,0,3
490,32407,0,6
381,59401,0,12
395,59412,0,9
396,68395,0,7
431,48661,0,7
444,50400,0,7
457,45048,0,5
510,25263,0,4
298,82799,0,8
455,46789,0,4
523,21606,0,4
472,43208,0,7
485,41395,0,2
463,50398,0,5
480,46744,0,6
440,66526,0,14
512,32407,0,5
286,81070,0,8
519,30599,0,7
527,28799,0,4
541,21600,0,4
487,48589,0,9
356,68387,0,14
530,27000,0,3
312,93588,0,8
552,18028,0,2
349,93568,0,6
427,59350,0,9
483,55788,0,13
520,37791,0,12
538,23448,0,5
531,32406,0,3
542,28811,0,3
559,21611,0,3
416,81006,0,9
442,70221,0,11
525,37800,0,5
413,86358,0,8
495,57588,0,16
557,25193,0,3
554,25204,0,2
415,81055,0,7
428,84536,0,8
549,25182,0,5
555,28796,0,3
570,19848,0,2
545,39570,0,4
504,61201,0,7
540,39606,0,3
544,39584,0,4
553,32405,0,6
514,54019,0,9
459,77360,0,11
500,66602,0,11
560,34201,0,5
486,70182,0,10
578,21607,0,3
494,71989,0,8
518,43199,0,5
547,43207,0,4
563,36006,0,7
566,36002,0,5
564,36010,0,3
576,28813,0,3
593,18021,0,3
429,98930,0,15
534,53993,0,6
567,39595,0,4
598,19861,0,6
537,55802,0,5
475,86401,0,11
498,82770,0,8
571,43196,0,9
573,39608,0,4
603,21613,0,1
604,21613,0,1
597,25221,0,1
617,10840,0,1
556,53995,0,9
575,43194,0,3
596,30603,0,3
622,14420,0,1
533,68394,0,7
618,23399,0,1
590,43197,0,5
599,43206,0,6
609,39599,0,6
569,48661,0,10
612,39608,0,3
624,35967,0,2
632,25206,0,4
592,45048,0,7
610,46790,0,8
601,52214,0,8
565,79197,0,9
615,46794,0,11
574,72012,0,4
606,50414,0,8
619,39601,0,3
641,35975,0,3
602,55848,0,5
605,68398,0,5
642,39608,0,4
588,57654,0,4
629,53994,0,7
657,17994,0,3
658,10846,0,1
648,28801,0,2
655,21606,0,2
633,57598,0,10
645,43193,0,8
649,35999,0,4
626,72000,0,7
634,64787,0,7
639,55853,0,5
644,50400,0,7
650,28793,0,2
667,14393,0,2
591,100794,0,11
613,90000,0,7
660,28807,0,3
671,16192,0,1
662,30648,0,5
638,77400,0,7
673,16204,0,1
630,82793,0,9
678,10852,0,1
663,37794,0,5
677,16248,0,2
672,21647,0,2
675,25205,0,3
665,50400,0,4
668,45048,0,3
686,28760,0,7
680,45048,0,6
684,37803,0,2
687,32407,0,7
685,39607,0,6
676,61196,0,9
683,45002,0,5
681,41448,0,6
697,10840,0,1
696,14401,0,2
690,39653,0,8
692,37861,0,6
701,14354,0,3
703,30609,0,4
704,25200,0,4
706,46801,0,6
